trade_date,open
2018-05-02,18.56
2018-04-27,18.0
2018-04-26,18.32
2018-04-25,18.29
2018-04-24,17.77
2018-04-23,17.21
2018-04-20,17.87
2018-04-19,17.86
2018-04-18,17.55
2018-04-17,17.29
2018-04-16,17.42
2018-04-13,17.92
2018-04-12,18.08
2018-04-11,18.06
2018-04-10,17.79
2018-04-09,17.5
2018-04-04,17.88
2018-04-03,17.53
2018-04-02,17.35
2018-03-30,17.16
2018-03-29,16.74
2018-03-28,16.55
2018-03-27,16.68
2018-03-26,16.15
2018-03-23,16.75
2018-03-22,17.45
2018-03-21,17.34
2018-03-20,17.12
2018-03-19,17.34
2018-03-16,17.7
2018-03-15,17.6
2018-03-14,17.82
2018-03-13,18.26
2018-03-12,18.06
2018-03-09,17.55
2018-03-08,17.41
2018-03-07,17.66
2018-03-06,17.35
2018-03-05,17.09
2018-03-02,17.2
2018-03-01,17.12
2018-02-28,17.24
2018-02-27,17.73
2018-02-26,17.37
2018-02-23,17.05
2018-02-22,17.05
2018-02-14,16.97
2018-02-13,16.8
2018-02-12,16.89
2018-02-09,17.46
2018-02-08,18.3
2018-02-07,18.99
2018-02-06,18.9
2018-02-05,18.8
2018-02-02,19.5
2018-02-01,19.63
2018-01-31,19.66
2018-01-30,20.28
2018-01-29,21.05
2018-01-26,21.09
2018-01-25,21.46
2018-01-24,20.76
2018-01-23,20.6
2018-01-22,20.7
2018-01-19,20.67
2018-01-18,20.8
2018-01-17,20.08
2018-01-16,19.29
2018-01-15,19.67
2018-01-12,19.68
2018-01-11,19.78
2018-01-10,19.99
2018-01-09,19.78
2018-01-08,18.61
2018-01-05,18.46
2018-01-04,18.51
2018-01-03,18.05
2018-01-02,17.31
2017-12-29,17.23
2017-12-28,17.18
2017-12-27,17.46
2017-12-26,17.33
2017-12-25,17.82
2017-12-22,18.23
2017-12-21,18.01
2017-12-20,18.17
2017-12-19,18.2
2017-12-18,18.21
2017-12-15,18.19
2017-12-14,18.97
2017-12-13,19.02
2017-12-12,19.5
2017-12-11,19.53
2017-12-08,19.48
2017-12-07,19.68
2017-12-06,19.65
2017-12-05,19.24
2017-12-04,19.18
2017-12-01,19.25
2017-11-30,19.19
2017-11-29,19.4
2017-11-28,19.5
2017-11-27,19.47
2017-11-24,19.43
2017-11-23,20.3
2017-11-22,20.1
2017-11-21,19.18
2017-11-20,19.29
2017-11-17,19.16
2017-11-16,19.75
2017-11-15,19.75
2017-11-14,20.02
2017-11-13,20.35
2017-11-10,20.38
2017-11-09,20.1
2017-11-08,20.02
2017-11-07,19.2
2017-11-06,19.35
2017-11-03,19.38
2017-11-02,19.21
2017-11-01,19.55
2017-10-31,19.58
2017-10-30,20.0
2017-10-27,20.46
2017-10-26,20.77
2017-10-25,20.77
2017-10-24,20.5
2017-10-23,21.02
2017-10-20,21.01
2017-10-19,21.64
2017-10-18,21.57
2017-10-17,21.43
2017-10-16,21.51
2017-10-13,21.55
2017-10-12,21.52
2017-10-11,21.7
2017-10-10,22.4
2017-10-09,23.49
2017-09-29,22.12
2017-09-28,21.95
2017-09-27,21.95
2017-09-26,22.08
2017-09-25,22.0
2017-09-22,21.85
2017-09-21,21.88
2017-09-20,21.99
2017-09-19,22.71
2017-09-18,22.61
2017-09-15,22.22
2017-09-14,22.23
2017-09-13,22.33
2017-09-12,22.18
2017-09-11,22.0
2017-09-08,22.93
2017-09-07,23.5
2017-09-06,23.2
2017-09-05,23.35
2017-09-04,23.0
2017-09-01,22.89
2017-08-31,22.5
